Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,1.604167,1.619792,1.588542,1.604167,0.491940,163200
1962-01-03,1.604167,1.619792,1.588542,1.619792,0.496732,156000
1962-01-04,1.656250,1.708333,1.656250,1.661458,0.509509,355200
1962-01-05,1.661458,1.697917,1.656250,1.677083,0.514301,163200
1962-01-08,1.677083,1.703125,1.666667,1.687500,0.517496,204000
1962-01-09,1.687500,1.718750,1.671875,1.703125,0.522287,290400
1962-01-10,1.703125,1.713542,1.677083,1.682292,0.515899,182400
1962-01-11,1.682292,1.708333,1.666667,1.708333,0.523884,384000
1962-01-12,1.708333,1.739583,1.687500,1.718750,0.527079,352800
1962-01-15,1.718750,1.729167,1.687500,1.713542,0.525481,280800
1962-01-16,1.697917,1.697917,1.677083,1.687500,0.520661,163200
1962-01-17,1.687500,1.708333,1.677083,1.682292,0.519054,160800
1962-01-18,1.682292,1.718750,1.682292,1.718750,0.530303,261600
1962-01-19,1.718750,1.750000,1.687500,1.750000,0.539944,357600
1962-01-22,1.750000,1.770833,1.744792,1.744792,0.538337,261600
1962-01-23,1.744792,1.760417,1.708333,1.708333,0.527088,223200
1962-01-24,1.708333,1.708333,1.666667,1.697917,0.523874,120000
1962-01-25,1.697917,1.723958,1.692708,1.708333,0.527088,151200
1962-01-26,1.708333,1.723958,1.687500,1.708333,0.527088,108000
1962-01-29,1.708333,1.723958,1.703125,1.723958,0.531909,122400
1962-01-30,1.718750,1.718750,1.692708,1.697917,0.523874,120000
1962-01-31,1.697917,1.723958,1.697917,1.708333,0.527088,189600
1962-02-01,1.708333,1.750000,1.708333,1.739583,0.536730,112800
1962-02-02,1.739583,1.744792,1.723958,1.729167,0.533516,199200
1962-02-05,1.729167,1.734375,1.723958,1.723958,0.531909,96000
1962-02-06,1.729167,1.744792,1.729167,1.734375,0.535124,105600
1962-02-07,1.734375,1.744792,1.713542,1.713542,0.528695,122400
1962-02-08,1.713542,1.718750,1.713542,1.713542,0.528695,141600
1962-02-09,1.713542,1.718750,1.692708,1.692708,0.522268,115200
1962-02-12,1.692708,1.697917,1.671875,1.697917,0.523874,98400
1962-02-13,1.697917,1.703125,1.682292,1.692708,0.522268,86400
1962-02-14,1.692708,1.692708,1.666667,1.677083,0.517447,177600
1962-02-15,1.671875,1.671875,1.645833,1.666667,0.514233,60000
1962-02-16,1.666667,1.687500,1.635417,1.677083,0.517447,88800
1962-02-19,1.677083,1.692708,1.661458,1.677083,0.517447,170400
1962-02-20,1.677083,1.682292,1.666667,1.671875,0.515840,67200
1962-02-21,1.671875,1.671875,1.625000,1.635417,0.504591,98400
1962-02-23,1.635417,1.656250,1.625000,1.635417,0.504591,96000
1962-02-26,1.666667,1.697917,1.666667,1.697917,0.523874,158400
1962-02-27,1.697917,1.708333,1.677083,1.682292,0.519054,117600
1962-02-28,1.682292,1.703125,1.666667,1.682292,0.519054,139200
1962-03-01,1.682292,1.703125,1.682292,1.682292,0.519054,74400
1962-03-02,1.682292,1.687500,1.666667,1.687500,0.520661,105600
1962-03-05,1.687500,1.692708,1.666667,1.687500,0.520661,79200
1962-03-06,1.687500,1.703125,1.666667,1.677083,0.517447,98400
1962-03-07,1.677083,1.677083,1.645833,1.656250,0.511019,172800
1962-03-08,1.656250,1.661458,1.635417,1.640625,0.506198,98400
1962-03-09,1.640625,1.645833,1.635417,1.635417,0.504591,86400
1962-03-12,1.635417,1.640625,1.614583,1.614583,0.498163,96000
1962-03-13,1.614583,1.635417,1.588542,1.625000,0.501377,141600
1962-03-14,1.630208,1.661458,1.630208,1.661458,0.512626,117600
1962-03-15,1.661458,1.661458,1.635417,1.645833,0.507805,139200
1962-03-16,1.645833,1.661458,1.645833,1.661458,0.512626,79200
1962-03-19,1.661458,1.682292,1.651042,1.661458,0.512626,105600
1962-03-20,1.666667,1.697917,1.666667,1.697917,0.523874,177600
1962-03-21,1.697917,1.703125,1.645833,1.656250,0.511019,232800
1962-03-22,1.666667,1.692708,1.666667,1.682292,0.519054,268800
1962-03-23,1.682292,1.697917,1.671875,1.682292,0.519054,189600
1962-03-26,1.682292,1.687500,1.656250,1.671875,0.515840,124800
1962-03-27,1.671875,1.677083,1.666667,1.671875,0.515840,112800
1962-03-28,1.671875,1.703125,1.671875,1.703125,0.525481,146400
1962-03-29,1.703125,1.703125,1.677083,1.682292,0.519054,91200
1962-03-30,1.682292,1.703125,1.677083,1.703125,0.525481,86400
1962-04-02,1.697917,1.697917,1.661458,1.671875,0.515840,230400
1962-04-03,1.671875,1.692708,1.661458,1.666667,0.514233,168000
1962-04-04,1.666667,1.682292,1.661458,1.671875,0.515840,115200
1962-04-05,1.671875,1.687500,1.666667,1.687500,0.520661,192000
1962-04-06,1.682292,1.682292,1.661458,1.682292,0.519054,148800
1962-04-09,1.682292,1.682292,1.661458,1.661458,0.512626,124800
1962-04-10,1.661458,1.677083,1.651042,1.677083,0.517447,120000
1962-04-11,1.677083,1.692708,1.656250,1.671875,0.515840,182400
1962-04-12,1.661458,1.661458,1.635417,1.656250,0.511019,158400
